"","index","easting","northing","slp09c","slp30c"
"593",24142,2435930.74669327,5994876.89408562,0.00286576640566841,0.00529692428519298
"594",28760,2591356.84921059,5916366.81325801,0.177199319508369,0.0533219427355424
"595",16807,2808406.67318145,6191023.45559119,0.0958097946303474,0.0697955966707462
"596",20645,2477116.74588449,6072079.60665691,0.0247207719878642,0.0111741436294074
"597",31336,2554362.93474501,5865562.35324262,0.0326901470090549,0.0404439085006323
"598",31844,2566136.79638039,5864387.47782138,NA,NA
"599",37787,2480956.66660889,5742224.81965367,0.0151746101582033,0.00266320654945193
"600",22979,2697357.90380813,6012030.59025847,0.161562369597949,0.129430441638942
"601",26763,2499580.48282914,5948198.99190326,0.0156691497577547,0.0325367132693038
"602",15360,2914570.18322521,6231932.42537319,0.216998805336793,0.0568184034012429
"603",33730,2357738.74817503,5811154.24146448,0.00918463530605978,0.0488674306248958
"604",37440,2417129.76491266,5764472.00605343,0.0224327967954039,0.0313314295304157
"605",37135,2482763.9631108,5758942.86116135,0.00137926006298119,0.000899766674656698
"606",5298,2753370.60714814,6491454.39663326,0.0749982977285089,0.0450482045639287
"607",42427,2285683.33035235,5643096.88702693,0.174083475801319,0.0898302727813871
"608",38844,2488188.6398077,5733173.66925875,NA,0.086428838156547
"609",20771,2668700.19351857,5999402.08969443,0.101856246167781,0.0625994065696838
"610",22898,2669587.9908495,5997712.13564662,0.007482589750913,0.0281185087245376
"611",20771,2668753.6964507,5998502.27919544,0.163156814859168,0.0837737570938779
"612",24114,2668728.60893582,5995602.46020295,0.00237898688868081,NA
"613",37787,2467073.59431326,5731450.62930702,0.00444778489123906,0.00499932652154402
"614",24206,2670875.32412192,5995393.07924374,0.153320456521559,0.065909698952437
"615",22898,2671554.90433216,5998413.97577051,0.00485216314759656,0.00553911252949786
"616",38844,2487792.78294225,5733253.27350698,0.118782696843942,0.086428838156547
"617",39695,2221846.24782707,5715231.74932955,0.0598271221112436,0.053302577900444
"618",38844,2486989.27443252,5733191.93448552,NA,0.0854233115044265
"619",38635,2412818.77731546,5719087.10022758,0.00887257099370082,0.00723086321211697
"620",22898,2669621.34995939,5995740.41305846,0.00262257511266663,0.0139327753353446
"621",34621,2472691.23613007,5815212.46053007,0.0312382763007704,0.0433519383085292
