CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
33451,-43.568981,172.690567,2485014.58,5737561.22,1575012.6,5175951.2,158.610026
33452,-43.569278,172.690589,2485016.48,5737528.21,1575014.5,5175918.2,165.855827
33453,-43.569258,172.689669,2484942.15,5737530.11,1574940.2,5175920.1,186.8704
33454,-43.569003,172.689836,2484955.55,5737558.52,1574953.6,5175948.5,165.063522
33455,-43.568991,172.690183,2484983.56,5737559.92,1574981.6,5175949.9,166.051093
33456,-43.569255,172.690186,2484983.86,5737530.61,1574981.9,5175920.6,166.259225
33599,-43.568614,172.690319,2484994.37,5737601.94,1574992.4,5175991.9,167.030704
33600,-43.568609,172.690524,2485010.98,5737602.54,1575009,5175992.5,171.3825
33601,-43.568594,172.690764,2485030.28,5737604.24,1575028.3,5175994.2,170.343929
33602,-43.568797,172.690795,2485032.88,5737581.73,1575030.9,5175971.7,167.951768
33603,-43.5688,172.690542,2485012.48,5737581.33,1575010.5,5175971.3,164.599025
33604,-43.568816,172.690361,2484997.87,5737579.43,1574995.9,5175969.4,163.282064
33874,-43.56398,172.688802,2484869.94,5738116.25,1574868,5176506,160.031669
33875,-43.56363,172.689101,2484893.95,5738155.26,1574892,5176545,155.698582
34034,-43.498368,172.690994,2485020.14,5745406.62,1575017.94,5183793.5,191.805423
